#{"t_start": 1764713318.06392, "env_id": "None"}
r,l,t
-97976.0,8620,2825.633869
-41668.0,8703,2841.240275
-116676.0,8770,2853.551481
-41659.0,8827,2863.784481
-41283.0,9108,2915.815016
-59954.0,9237,2939.38155
-77848.0,9808,3042.132594
-59140.0,9976,3072.407797
-115091.0,10205,3116.893421
-77196.0,10560,3502.025239
-60459.0,8672,5849.613625
-60426.0,8750,5853.59572
-97461.0,9045,5881.060334
-60683.0,8558,5881.250628
-116645.0,8466,5888.162833
-116173.0,9178,5921.194747
-41445.0,8911,6396.740442
-116666.0,8755,6398.935047
-41278.0,9103,6504.856974
-58507.0,10634,7181.681394
-116581.0,8890,8883.288802
-97430.0,9046,8917.612861
-78967.0,8944,8926.17759
-60150.0,9026,9272.765509
-22239.0,9312,9319.783277
-23055.0,8656,9393.754688
-41560.0,8911,9443.607385
-77549.0,10242,9534.212551
-21120.0,9951,10066.409218
-41114.0,9272,10282.585168
-41686.0,8755,12144.558393
-97937.0,8644,12153.880107
-39255.0,9716,12289.520714
-97620.0,9016,12340.172984
-22036.0,9430,12343.10125
-59064.0,9857,12353.626468
-22589.0,9092,12400.025927
-78964.0,8797,12750.175988
-59929.0,9102,13001.983611
-115924.0,9372,13583.59902
-117120.0,8321,14950.149665
-23711.0,7865,15068.405127
-22376.0,9165,15096.318531
-98268.0,8373,15533.575487
-116392.0,8974,15583.810829
-116155.0,9111,15606.115311
-78388.0,9423,15610.870642
-117437.0,8069,15777.846159
-96922.0,9534,15782.400663
-77654.0,10102,17099.003859
-41863.0,8488,17883.482492
-117010.0,8456,18005.622528
-41758.0,8733,18533.963386
-41812.0,8644,18597.324869
-22393.0,9188,18672.109498
-97845.0,8781,18792.483322
-116305.0,8926,19145.552691
-114200.0,11001,19164.895302
-114720.0,10011,19169.700519
-116593.0,8838,20120.163998
-78316.0,9180,20959.995531
-60551.0,8370,21504.905499
-96805.0,9881,21527.709621
-116484.0,8952,21549.343324
-78585.0,9281,22051.725506
-41688.0,8618,22078.765735
-22907.0,8529,22082.139263
-22434.0,9097,22191.674018
-78463.0,9453,22201.776674
-116442.0,8824,23412.586966
-42118.0,8238,23812.12949
-41858.0,8598,24497.618298
-59348.0,9478,24940.981017
-41549.0,8927,25110.158041
-97271.0,8910,25110.341697
-22526.0,9035,25255.298393
-77624.0,10177,25634.015478
-58238.0,9553,25658.528007
-19694.0,11802,25714.735059
-97058.0,9578,26545.976461
-115238.0,10138,27355.853137
-40785.0,9091,27811.432987
-78531.0,9370,27978.807878
-116443.0,9013,28397.00682
-79412.0,8404,28425.690645
-115489.0,9617,28505.606612
-22708.0,8873,28656.713982
-96184.0,9917,29110.636893
-20439.0,11017,29293.533113
-97406.0,9125,29850.572832
-116091.0,9295,30694.482087
-22318.0,9273,30828.505659
-60352.0,8839,31233.797474
-116505.0,8951,31351.850344
-96109.0,9462,31473.239622
-23485.0,8196,31914.753231
-77829.0,10087,31981.527473
-39874.0,10277,32169.038341
-115903.0,9403,32639.170427
-76286.0,10635,33411.012431
-98577.0,8149,33591.856941
-78718.0,9193,33652.701251
-40836.0,9320,34211.910629
-41228.0,9028,34719.216857
-115311.0,9980,34767.971021
-97727.0,8899,34821.688743
-78268.0,9298,34953.107732
-98150.0,8571,34999.138474
-79232.0,8584,35459.707306
-97828.0,8833,36283.367607
-78818.0,9008,36884.818582
-40932.0,9439,36905.155401
-78950.0,8986,37640.056511
-98130.0,8551,37666.708372
-114946.0,10255,37680.694357
-96592.0,9974,38182.866014
-116294.0,9127,38219.615033
-117140.0,8316,38269.912246
-96581.0,9975,38416.21494
-41489.0,8877,39174.43143
-21777.0,9854,40253.611797
-96427.0,10004,40261.480141
-78783.0,9103,40529.657713
-59578.0,9443,40930.057608
-40541.0,9675,40956.450474
-41570.0,8686,40978.347263
-41441.0,8730,41075.759351
-59672.0,9344,41132.061307
-23076.0,8375,41157.864363
-77405.0,10391,42995.59655
-116242.0,9059,43248.524318
-116001.0,9240,43276.143652
-116144.0,9237,43893.515873
-79267.0,8434,43901.545622
-116151.0,9185,43985.392092
-41301.0,9080,43994.02568
-41547.0,8754,44056.170713
-41085.0,9366,44562.575909
-41090.0,9281,44572.888907
-98021.0,8590,45962.96436
-60795.0,8361,46791.861762
-115012.0,10249,46840.995479
-78938.0,8853,46890.57651
-20825.0,10411,46896.227382
-23074.0,8642,46944.228174
-41612.0,8809,47273.349745
-22404.0,9282,47423.165019
-41909.0,8522,47462.815349
-22528.0,9063,47548.658536
-22664.0,9057,48879.119243
-97377.0,9239,50024.354174
-22697.0,8979,50072.883701
-40578.0,9288,50079.560808
-97784.0,8697,50096.718162
-59887.0,9259,50124.223002
-97254.0,9382,50190.478109
-60371.0,8725,50283.804772
-77150.0,9896,50748.014121
-40238.0,9873,50866.690934
-40140.0,9861,75168.296206
-98188.0,8523,75750.047475
-41546.0,8720,75861.639721
-79094.0,8892,75866.861717
-78798.0,8813,75908.172559
-23145.0,8576,76036.577179
